image,steering_angle,speed
images/img_2025-06-21_10-13-25-081.png,-0.5,20
images/img_2025-06-21_10-13-32-940.png,-0.5,20
images/img_2025-06-21_10-13-25-240.png,-0.5,20
images/img_2025-06-21_10-13-24-990.png,-0.5,20
images/img_2025-06-21_10-13-34-770.png,-0.5,20
images/img_2025-06-21_10-13-34-810.png,-0.5,20
images/img_2025-06-21_10-27-20-062.png,-0.5,20
images/img_2025-06-21_10-13-34-930.png,-0.5,20
images/img_2025-06-21_10-13-34-865.png,-0.5,20
images/img_2025-06-21_10-13-31-200.png,-0.5,20
images/img_2025-06-21_10-27-20-136.png,-0.5,20
images/img_2025-06-21_10-27-20-356.png,-0.5,20
images/img_2025-06-21_10-13-28-130.png,-0.5,20
images/img_2025-06-21_10-13-27-980.png,-0.5,20
images/img_2025-06-21_10-27-18-019.png,-0.5,20
images/img_2025-06-21_10-13-32-901.png,-0.5,20
images/img_2025-06-21_10-13-25-210.png,-0.5,20
images/img_2025-06-21_10-13-25-110.png,-0.5,20
images/img_2025-06-21_10-13-32-920.png,-0.5,20
images/img_2025-06-21_10-13-31-040.png,-0.5,20
images/img_2025-06-21_10-13-31-240.png,-0.5,20
images/img_2025-06-21_10-13-33-051.png,-0.5,20
images/img_2025-06-21_10-13-33-034.png,-0.5,20
images/img_2025-06-21_10-13-28-086.png,-0.5,20
images/img_2025-06-21_10-27-18-252.png,-0.5,20
images/img_2025-06-21_10-13-34-968.png,-0.5,20
images/img_2025-06-21_10-13-31-260.png,-0.5,20
images/img_2025-06-21_10-13-25-154.png,-0.5,20
images/img_2025-06-21_10-27-18-156.png,-0.5,20
images/img_2025-06-21_10-13-34-740.png,-0.5,20
images/img_2025-06-21_10-27-20-326.png,-0.5,20
images/img_2025-06-21_10-13-34-851.png,-0.5,20
images/img_2025-06-21_10-27-20-418.png,-0.5,20
images/img_2025-06-21_10-13-28-145.png,-0.5,20
images/img_2025-06-21_10-27-18-226.png,-0.5,20
images/img_2025-06-21_10-13-31-110.png,-0.5,20
images/img_2025-06-21_10-13-33-110.png,-0.5,20
images/img_2025-06-21_10-13-28-004.png,-0.5,20
images/img_2025-06-21_10-27-17-906.png,-0.5,20
images/img_2025-06-21_10-13-25-063.png,-0.5,20
images/img_2025-06-21_10-13-28-104.png,-0.5,20
images/img_2025-06-21_10-13-33-003.png,-0.5,20
images/img_2025-06-21_10-13-25-200.png,-0.5,20
images/img_2025-06-21_10-27-18-126.png,-0.5,20
images/img_2025-06-21_10-13-25-121.png,-0.5,20
images/img_2025-06-21_10-13-32-960.png,-0.5,20
images/img_2025-06-21_10-27-20-206.png,-0.5,20
images/img_2025-06-21_10-27-17-946.png,-0.5,20
images/img_2025-06-21_10-13-34-787.png,-0.5,20
images/img_2025-06-21_10-27-20-401.png,-0.5,20
images/img_2025-06-21_10-13-28-062.png,-0.5,20
images/img_2025-06-21_10-13-31-160.png,-0.5,20
images/img_2025-06-21_10-13-33-090.png,-0.5,20
images/img_2025-06-21_10-13-31-130.png,-0.5,20
images/img_2025-06-21_10-13-34-820.png,-0.5,20
images/img_2025-06-21_10-13-31-085.png,-0.5,20
images/img_2025-06-21_10-13-33-135.png,-0.5,20
images/img_2025-06-21_10-27-20-176.png,-0.5,20
images/img_2025-06-21_10-27-17-976.png,-0.5,20
images/img_2025-06-21_10-13-27-965.png,-0.5,20
images/img_2025-06-21_10-13-31-285.png,-0.5,20
images/img_2025-06-21_10-27-20-273.png,-0.5,20
images/img_2025-06-21_10-27-18-041.png,-0.5,20
images/img_2025-06-21_10-27-18-196.png,-0.5,20
images/img_2025-06-21_10-27-20-102.png,-0.5,20
images/img_2025-06-21_10-13-32-990.png,-0.5,20
images/img_2025-06-21_10-13-31-210.png,-0.5,20
images/img_2025-06-21_10-13-25-012.png,-0.5,20
images/img_2025-06-21_10-13-34-901.png,-0.5,20
images/img_2025-06-21_10-13-28-190.png,-0.5,20
images/img_2025-06-21_10-13-25-035.png,-0.5,20
